Comment,Designator,Footprint,LCSC Part #
100k,"R10,R11",R_0402_1005Metric,C25741
100nF,"C3,C4,C8",C_0402_1005Metric,C1525
10k,"R1,R2,R3,R8,R9",R_0402_1005Metric,C25744
10uF,"C1,C2",C_0402_1005Metric,C15525
1k,R7,R_0402_1005Metric,C11702
1uF,"C6,C7",C_0402_1005Metric,C52923
4.7k,R6,R_0402_1005Metric,C25900
4.7uF,C5,C_0402_1005Metric,C23733
5.1k,"R4,R5",R_0402_1005Metric,C25905
BATTERY,J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C131337
BOOT_BTN,SW2,SW_Push_1P1T_NO_CK_KSC6xxJ,C221929
CHRG,D1,LED_0402_1005Metric,C2286
ESP32-C3-MINI-1,U3,XCVR_ESP32-C3-MINI-1-N4,C3013922
MAIN_BTN,SW1,SW_Push_1P1T_NO_CK_KSC6xxJ,C221929
MCP1826S-3302,U2,SOT-223-3_TabPin2,C39041
MCP73831,U1,SOT-23-5,C424093
OLED,J3,PinSocket_1x04_P2.54mm_Vertical,C2718436
RESET_BTN,SW3,SW_Push_1P1T_NO_CK_KSC6xxJ,C221929
USB-C,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
